	spk3	Fred Michalak	2
Agustín Pichot=Ar	spk1	Agustin Pichot	2
Agustín Pichot=Ar	spk1	Pichot	25
Agustín Pichot=Ar	spk2	Agustin Pichot	3
Agustín Pichot=Ar	spk2	Pichot	3
Agustín Pichot=Ar	spk3	Agustin Pichot	1
Aurélien Rougerie=Fr	spk1	Rougerie	8
Aurélien Rougerie=Fr	spk2	Rougerie	1
Bernard Laporte=Fr	spk1	Bernard Laporte	3
Bernard Laporte=Fr	spk1	Laporte	1
Bernard Laporte=Fr	spk2	Bernard Laporte	1
Bernard Laporte=Fr	spk2	Laporte	1
Christophe Dominici=Fr	spk1	Christophe Dominici	1
Christophe Dominici=Fr	spk1	Dominici	13
Christophe Dominici=Fr	spk2	Dominici	3
Cédric Heymans=Fr	spk1	Cédric Heymans	5
Cédric Heymans=Fr	spk1	Heymans	19
Cédric Heymans=Fr	spk2	Heymans	1
Damien Traille=Fr	spk1	Damien Traille	4
Damien Traille=Fr	spk1	Traille	8
Damien Traille=Fr	spk2	Traille	4
Damien Traille=Fr	spk3	Damien Traille	3
David Marty=Fr;David Skrela=Fr	spk1	David	2
David Marty=Fr;David Skrela=Fr	spk3	David	1
David Skrela=Fr	spk1	David Skrela	18
David Skrela=Fr	spk1	Skrela	23
David Skrela=Fr	spk2	Skrela	4
David Skrela=Fr	spk3	David Skrela	2
David Skrela=Fr	spk3	Skrela	2
Dimitri Szarzewski=Fr	spk1	Dimitri Szarzewski	1
Dimitri Szarzewski=Fr	spk1	Szarzewski	1
Fabien Pelous=Fr	spk1	Fabien Pelous	1
Fabien Pelous=Fr	spk1	Pelous	6
Fabien Pelous=Fr	spk2	Fabien	1
Fabrice Landreau=Ot	spk1	Fabrice	5
Fabrice Landreau=Ot	spk1	Fabrice Landreau	1
Fabrice Landreau=Ot	spk2	Fabrice	3
Felipe Contepomi=Ar	spk1	Felipe Contepomi	5
Frédéric Michalak=Fr	spk1	Frédéric Michalak	1
Frédéric Michalak=Fr	spk1	Michalak	2
Hernán Senillosa=Ar	spk1	Senillosa	2
Hernán Senillosa=Ar	spk3	Senillosa	1
Ignacio Corleto=Ar	spk1	Corleto	12
Ignacio Corleto=Ar	spk1	Ignacio Corleto	1
Ignacio Corleto=Ar	spk2	Corleto	3
Ignacio Fernández Lobbe=Ar;Juan Martín Fernández Lobbe=Ar	spk1	Fernandez Lobbe	6
Ignacio Fernández Lobbe=Ar;Juan Martín Fernández Lobbe=Ar	spk3	Fernandez Lobbe	1
Imanol Harinordoquy=Fr	spk1	Harinordoquy	9
Imanol Harinordoquy=Fr	spk1	Imanol Harinordoquy	1
Imanol Harinordoquy=Fr	spk3	Harinordoquy	1
Jean-Baptiste Poux=Fr	spk3	Jean-Baptiste Poux	1
Jean-Baptiste Élissalde=Fr	spk1	Jean-Baptiste Elissalde	1
Juan Manuel Leguizamón=Ar	spk1	Leguizamon	4
Juan Martín Hernández=Ar	spk1	Hernandez	28
Juan Martín Hernández=Ar	spk1	Juan Martin Hernandez	1
Juan Martín Hernández=Ar	spk2	Hernandez	3
Jérôme Thion=Fr	spk1	Jérôme Thion	2
Jérôme Thion=Fr	spk1	Thion	2
Jérôme Thion=Fr	spk2	Thion	1
Jérôme Thion=Fr	spk3	Thion	1
Lucas Borges=Ar	spk1	Borges	6
Lucas Borges=Ar	spk1	Lucas Borges	3
Lucas Borges=Ar	spk2	Borges	1
Lucas Ostiglia=Ar	spk2	Ostiglia	2
Manuel Contepomi=Ar;Felipe Contepomi=Ar	spk1	Contepomi	18
Manuel Contepomi=Ar;Felipe Contepomi=Ar	spk2	Contepomi	2
Manuel Contepomi=Ar;Felipe Contepomi=Ar	spk3	Contepomi	1
Marcelo Loffreda=Ar	spk1	Loffreda	1
Mario Ledesma=Ar	spk1	Ledesma	10
Mario Ledesma=Ar	spk1	Mario Ledesma	3
Mario Ledesma=Ar	spk2	Ledesma	2
Olivier Milloud=Fr	spk1	Olivier	1
Patricio Albacete=Ar	spk1	Albacete	1
Pierre Mignoni=Fr	spk1	Mignoni	27
Pierre Mignoni=Fr	spk2	Mignoni	9
Pierre Mignoni=Fr	spk3	Mignoni	1
Pierre Mignoni=Fr	spk3	Pierre Mignoni	1
Pieter de Villiers=Fr	spk1	Pieter de Villiers	3
Pieter de Villiers=Fr	spk1	de Villiers	2
Pieter de Villiers=Fr	spk2	Pieter de Villiers	1
Pieter de Villiers=Fr	spk3	Pieter de Villiers	1
Raphaël Ibañez=Fr	spk1	Ibañez	10
Raphaël Ibañez=Fr	spk1	Raphaël Ibañez	3
Raphaël Ibañez=Fr	spk2	Ibañez	3
Raphaël Ibañez=Fr	spk2	Raphaël Ibañez	1
Raphaël Ibañez=Fr	spk3	Raphaël	1
Raphaël Ibañez=Fr	spk3	Raphaël Ibañez	2
Rimas Álvarez Kairelis=Ar	spk1	Alvarez Kairelis	1
Rimas Álvarez Kairelis=Ar	spk3	Álvarez Kairelis	1
Rodrigo Roncero=Ar	spk1	Roncero	4
Rémy Martin=Fr	spk1	Rémy Martin	7
Rémy Martin=Fr	spk2	Rémy	1
Rémy Martin=Fr	spk2	Rémy Martin	2
Rémy Martin=Fr;Martín Schusterman=Ar;Juan Martín Hernández=Ar;Martín Scelzo=Ar;Juan Martín Fernández Lobbe=Ar;Martín Durand=Ar	spk1	Martin	8
Rémy Martin=Fr;Martín Schusterman=Ar;Juan Martín Hernández=Ar;Martín Scelzo=Ar;Juan Martín Fernández Lobbe=Ar;Martín Durand=Ar	spk2	Martin	6
Serge Betsen=Fr	spk1	Betsen	8
Serge Betsen=Fr	spk1	Serge	1
Serge Betsen=Fr	spk2	Betsen	2
Sébastien Chabal=Fr	spk1	Chabal	6
Sébastien Chabal=Fr	spk1	Sébastien Chabal	1
Sébastien Chabal=Fr	spk2	Chabal	3
Sébastien Chabal=Fr	spk3	Sébastien Chabal	1
Thierry Dusautoir=Fr;Thierry Gilardi=Ot;Thierry Lacroix=Ot	spk1	Thierry	2
Thierry Dusautoir=Fr;Thierry Gilardi=Ot;Thierry Lacroix=Ot	spk2	Thierry	12
