joueurs	émotion	texte		
		1		
Agustín Pichot=Ar		30	34	11,76 %
Agustín Pichot=Ar	admiration	3		
Agustín Pichot=Ar	satisfaction	1		
Aurélien Rougerie=Fr		7	9	22,22 %
Aurélien Rougerie=Fr	espoir	2		
Bernard Laporte=Fr		6	7	14,29 %
Bernard Laporte=Fr	espoir	1		
Christophe Dominici=Fr		15	17	11,76 %
Christophe Dominici=Fr	admiration	1		
Christophe Dominici=Fr	satisfaction	1		
Christophe Dominici=Fr;Juan Martín Hernández=Ar		1		
Cédric Heymans=Fr		17	25	32,00 %
Cédric Heymans=Fr	admiration	1		
Cédric Heymans=Fr	enthousiasme	1		
Cédric Heymans=Fr	espoir	1		
Cédric Heymans=Fr	satisfaction	4		
Cédric Heymans=Fr	soulagement	1		
Cédric Heymans=Fr;Christophe Dominici=Fr		1		
Cédric Heymans=Fr;Thierry Gilardi=Ot;Frédéric Michalak=Fr		1		
Damien Traille=Fr		13	19	31,58 %
Damien Traille=Fr	admiration	1		
Damien Traille=Fr	agacement	1		
Damien Traille=Fr	déception	2		
Damien Traille=Fr	regret	1		
Damien Traille=Fr	satisfaction	1		
Damien Traille=Fr;Christophe Dominici=Fr		2		
Damien Traille=Fr;Cédric Heymans=Fr		1		
Damien Traille=Fr;Pierre Mignoni=Fr	satisfaction	1		
Damien Traille=Fr;Rémy Martin=Fr	admiration	1		
David Ellis=En		1		
David Skrela=Fr		44	51	13,73 %
David Skrela=Fr	admiration	1		
David Skrela=Fr	agacement	2		
David Skrela=Fr	déception	1		
David Skrela=Fr	espoir	2		
David Skrela=Fr	satisfaction	1		
David Skrela=Fr;Bernard Laporte=Fr		1		
David Skrela=Fr;Juan Martín Hernández=Ar		1		
David Skrela=Fr;Pierre Mignoni=Fr		3		
Dimitri Szarzewski=Fr		3		
Fabien Pelous=Fr		7	9	22,22 %
Fabien Pelous=Fr	déception	1		
Fabien Pelous=Fr	satisfaction	1		
Fabien Pelous=Fr;Pierre Mignoni=Fr		1		
Fabien Pelous=Fr;Raphaël Ibañez=Fr		2		
