	RJ5.00	RC5.00	timeline	trscode	D5.00	S1D5.00	S2D5.00	S3D5.00	V5.00	S1V5.00	S2V5.00	S3V5.00	timecode	début	fin	numEvent	événement	numAct	action	commentaires	numSpk	Spk	texte	texte-PxP	texte-colour	texte-support	dureeS1	dureeS2	PxP	colour	support	sumPxP	sumColour	sumSupport	pause	suivant	durée	plage	même	start	end	discours	émotion	excitation	noms	joueurs
0	0.0	0.0	3000.0	00:00:30.00	1.3	1.3	0.0	0.0	1.33470225873	1.33470225873	0.0	0.0																	0.0	0.0	0.0	0.0	0.0	0.0												
1	0.0	0.0	3100.0	00:00:31.00	2.0	2.0	0.0	0.0	2.08986415883	2.08986415883	0.0	0.0																	0.0	0.0	0.0	0.0	0.0	0.0												
2	0.0	0.0	3200.0	00:00:32.00	2.4	2.4	0.0	0.0	2.58899676375	2.58899676375	0.0	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
3			3220.0										3220.0	32.2	35.92						1.0	spk1	après avoir demandé si tout le monde était prêt, le coup d'envoi de la coupe du monde deux mille sept	1.0			375.0													33.121	36.835	narration		2		
4			3254.0										3254.0	32.54	36.9	1	coup d'envoi	1	grand coup de pied	spk1-002		spk1																								
5	0.5	0.5	3300.0	00:00:33.00	2.8	2.8	0.0	0.0	3.04678998912	3.04678998912	0.0	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
6			3349.0											33.49	33.53																				spk1	spk1	0.04	0.04	True							
7	0.5	0.5	3400.0	00:00:34.00	3.1	3.1	0.0	0.0	3.39539978094	3.39539978094	0.0	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
8			3479.0											34.79	35.01																				spk1	spk1	0.22	0.22	True							
9	0.5	0.5	3500.0	00:00:35.00	3.2	3.2	0.0	0.0	3.54374307863	3.54374307863	0.0	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
10			3513.0											35.13	35.19																				spk1	spk1	0.06	0.06	True							
11			3569.0											35.69	35.77																				spk1	spk1	0.08	0.08	True							
12			3588.0											35.88	35.91																				spk1	spk1	0.03	0.03	True							
13	0.5	0.5	3600.0	00:00:36.00	3.6	3.2	0.4	0.0	3.98671096346	3.64050056883	0.512163892446	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
14			3616.0										3616.0	36.16	38.52						2.0	spk1	est donné par David Skrela.	1.0			250.0													37.086	39.447	narration		2	David Skrela	David Skrela=Fr
15			3639.0											36.39	36.54																				spk1	spk1	0.15	0.15	True							
16			3668.0											36.68	37.14																				spk1	spk1	0.46	0.46	True							
17			3694.0										3694.0	36.94	37.38	1	coup d'envoi	2	réception			spk1																								
18	1.0	0.5	3700.0	00:00:37.00	4.1	3.2	0.9	0.0	4.59126539754	3.83233532934	1.1673151751	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
19			3793.0											37.93	38.01																				spk1	spk1	0.08	0.08	True							
20	1.0	0.5	3800.0	00:00:38.00	4.3	3.2	1.1	0.0	4.81522956327	3.86007237636	1.42671854734	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
21			3806.0										3806.0	38.06	40.42	2	regroupement	3	regroupement			spk1																								
22			3850.0											38.5	38.56																				spk1	spk1	0.06	0.06	True							
23	1.5	0.5	3900.0	00:00:39.00	4.1	3.0	1.1	0.0	4.58100558659	3.60144057623	1.42671854734	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
24			3934.0											39.34	40.55																				spk1	spk2	1.21	1.21	False							
25			3960.0										3960.0	39.6	41.0						1.0	spk2	allez de suite dans le camp euh	1.0				150.0												40.492	41.904	narration		2		
26	1.5	0.5	4000.0	00:00:40.00	3.7	2.6	1.1	0.0	4.05701754386	3.05882352941	1.40127388535	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
27			4042.0										4042.0	40.42	40.7	2	regroupement	4	extraction			spk2																								
28			4070.0										4070.0	40.7	41.46	3	porté	5	porté	spk1-003		spk2																								
29	2.5	1.0	4100.0	00:00:41.00	3.3	2.2	1.1	0.0	3.57917570499	2.55813953488	1.39771283355	0.0																	1.0	0.0	0.0	1.0	0.0	0.0												
30			4146.0										4146.0	41.46	42.14	4	regroupement	6	plaquage			spk2																								
31			4160.0										4160.0	41.6	42.16						2.0	spk2	argentin	1.0				75.0												42.529	43.08	narration		2		
32			4165.0											41.65	41.73																				spk2	spk2	0.08	0.08	True							
33			4188.0											41.88	42.56																				spk2	spk2	0.68	0.68	True							
