Début	Fin	Speaker	Text
0	33.121	  	 
33.121	35.031	 spk1 	 Aprèsavoir demandé si tout le monde était prêt
35.031	36.697	 spk1 	 le coup d'envoi de la coupe du monde deux mille sept
36.697	37.086	 spk1 	 PAUSE
37.086	39.447	 spk1 	 est donné par David Skrela
39.447	40.492	 spk1 	 PAUSE
40.492	41.904	 spk2 	 allez de suite dans le camp euh
41.904	42.529	 spk2 	 PAUSE
42.529	43.08	 spk2 	 argentin
43.08	43.213	  	 
43.213	44.769	 spk1 	 avec un départ de Roncero
44.769	45.468	  	 
45.468	46.684	 spk1 	 Pichot a appelé le ballon 
46.684	47.456	  	 
47.456	48.706	 spk1 	 pour Hernandez
48.706	49.388	  	 
49.388	50.91	 spk1 	 avec le pied droit
50.91	51.473	  	 
51.473	53.2	 spk1 	 pour trouver une très jolie touche
53.2	53.894	  	 
53.894	55.336	 spk1 	 direct il en avait le droit 
55.336	56.575	 spk1 	 il était à l'intérieur
56.575	57.564	 spk1 	 de ses vingt-deux mètres 
57.564	57.991	  	 
57.991	59.94	 spk1 	 dans ce cas-là on peut trouver une touche 
59.94	60.286	  	 
60.286	60.939	 spk1 	 directement 
60.939	63.288	  	 
63.288	63.979	 spk1 	 alors la touche 
63.979	64.189	  	 
64.189	65.694	 spk1 	 ça ça sera une des clefs de cette rencontre
65.694	66.01	  	 
66.01	67.089	 spk1 	 le bloc français
67.089	67.592	  	 
67.592	68.913	 spk1 	 contre le bloc argentin
68.913	70.226	  	 
70.226	70.93	 spk1 	 lancer
70.93	72.362	  	 
72.362	74.74	 spk1 	 pour le capitaine de l'équipe de France Raphaël Ibanez
74.74	75.652	  	 
75.652	77.206	 spk1 	 qui a donc le choix de la combinaison
77.206	79.479	  	 
79.479	81.854	 spk1 	 ah un ballon bien pris ah quoique relâché 
81.854	82.079	  	 
82.079	83.312	 spk1 	 et ça profite à Pichot
83.312	83.829	  	 
83.829	85.224	 spk1 	 un petit coup de pied par-dessus
85.224	85.65	  	 
85.65	89.048	 spk1 	 Cédric Heymans en couverture il va devoir
89.048	89.358	  	 
89.358	91.358	 spk1 	 oui avec la cuiller de Pichot 
91.358	91.83	  	 
91.83	92.773	 spk1 	 Heymans est au sol 
92.773	93.211	  	 
93.211	94.444	 spk1 	 attention à ne pas garder le ballon
94.444	94.679	  	 
94.679	95.547	 spk1 	 à le libérer vite
95.547	96.868	  	 
96.868	97.892	 spk1 	 David Skrela
97.892	98.114	  	 
98.114	99.751	 spk1 	 première grosse alerte 
99.751	100.106	  	 
100.106	100.52	 spk3 	 Thierry
100.52	100.901	  	 
100.901	103.254	 spk2 	 oui effectivement ces argentins avec Agustin Pichot
103.254	103.543	  	 
103.543	105.734	 spk2 	 alors il faut en parler aussi parce que la clef du match aujourd'hui
105.734	105.922	  	 
105.922	106.677	 spk2 	 c'est le numéro neuf
106.677	106.967	  	 
106.967	109.337	 spk2 	 on voit regardez la cuiller c'est ça c'est le petit coup de main
109.337	109.516	  	 
109.516	111.635	 spk2 	 sur le le la le la la cheville de 
111.635	111.968	  	 
111.968	113.294	 spk2 	 de Heymans et le déséquilibre
113.294	113.451	  	 
113.451	115.186	 spk2 	 attention ça peut être dangereux hein des fois quand on tombe comme ça
115.186	115.536	  	 
115.536	117.604	 spk2 	 y'a une clef aussi c'est les demis de mêlée on vous en parlera tout à l'heure
117.604	117.718	  	 
117.718	118.178	 spk2 	 place au jeu
118.178	118.315	  	 
118.315	119.331	 spk2 	 place à la touche Ledesma
119.331	119.732	  	 
119.732	122.602	 spk1 	 Mario Ledesma super Mario pour cette remise en jeu 
122.602	123.878	  	 
123.878	126.336	 spk1 	 ah les argentins qui ont bien démarré en chipant un premier ballon
126.336	126.651	  	 
126.651	127.775	 spk1 	 à l'alignement français
127.775	128.317	  	 
128.317	129.289	 spk1 	 et en s'emparant
129.289	129.706	  	 
129.706	130.447	 spk1 	 proprement
130.447	130.896	  	 
130.896	131.864	 spk1 	 du deuxième
131.864	132.406	  	 
132.406	132.97	 spk1 	 des grosses
