	Japonais		Français			
Action	Début	Fin	Début	Fin	Minutes du jeu	Avantage équipe
Pénalité	12:08	12:23	08:22	08:42	4'	Fidji
Pénalité	28:04:00	28:14:00	24:24:00	24:34:00	18'	Japon
Pénalité	41:25:00	41:38:00	37:42:00	37:49:00	30'	Japon
Essai	48:10:00	48:21:00	44:29:00	44:45:00	35'	Fidji
Transformation	49:06:00	49:15:00	45:22:00	45:29:00	37'	Fidji
Pénalité	53:37:00	53:55:00	49:55:00	50:11:00	40'	Japon
Pénalité	01:02:44	01:02:53	01:03:59	01:04:12	43'	Japon
Essai	01:09:14	01:09:32	01:10:34	01:10:51	49'	Fidji
Transformation	01:10:50	01:10:57	01:12:12	01:12:28	50'	Fidji
Essai	01:11:43	01:12:07	01:13:02	01:13:12	51'	Japon
Transformation	01:12:37	01:12:56	01:14:04	01:14:11	52'	Japon
Essai	01:16:55	01:17:06	01:18:15	01:18:30	56'	Fidji
Essai	01:34:47	01:35:00	01:36:16	01:36:31	71'	Fidji
Transformation	01:35:59	01:36:05	01:37:17	01:37:29	72'	Fidji
Pénalité	01:38:26	01:38:34	01:39:47	01:39:53	74'	Fidji
Essai	01:39:26	01:39:43	01:43:30	01:43:43	78'	Japon
Transformation	01:40:18	01:40:26	01:44:18	01:44:24	79'	Japon
Jeu offensif 	01:43:09	01:43:16	01:47:12	01:47:20	prolongation	Japon
Jeu offensif 	01:43:19	01:43:26	01:47:38	01:47:46	prolongation	Japon
Jeu offensif 	01:43:37	01:43:45	01:47:50	01:47:58	prolongation	Japon
Jeu offensif 	01:43:45	01:44:02	01:48:00	01:48:06	prolongation	Japon
